id,age,prior_experience,education_level,region,treatment,salary
1,24,4.0,High School,North,1,62951.2
2,37,4.3,Master's,South,0,64458.05
3,46,4.1,High School,West,0,47255.11
4,32,3.2,Bachelor's,East,0,40585.34
5,28,2.6,Master's,East,1,63843.04
6,25,2.7,Bachelor's,East,0,52137.79
7,46,2.6,Bachelor's,West,0,48796.08
8,38,5.3,High School,North,0,40792.08
9,24,4.2,Master's,South,1,64310.87
10,43,0.0,Bachelor's,West,1,45740.32
11,36,4.3,High School,North,0,39918.22
12,40,3.4,Bachelor's,West,1,65812.31
13,28,3.0,Bachelor's,West,0,37282.68
14,28,2.2,High School,East,1,49948.48
15,41,5.2,High School,North,0,39283.16
16,38,4.9,High School,East,1,49878.9
17,21,1.5,Bachelor's,East,0,32314.07
18,25,3.8,Bachelor's,North,1,56697.04
19,41,1.1,Bachelor's,East,0,48723.72
20,20,0.2,Master's,East,0,47046.41
21,39,1.7,Master's,South,1,54247.89
22,38,4.7,Bachelor's,North,1,67260.1
23,19,4.9,High School,North,0,50875.27
24,41,4.0,Bachelor's,East,1,60598.74
25,29,4.5,Bachelor's,East,0,61524.32
26,47,4.0,Bachelor's,North,1,64204.89
27,23,1.7,Bachelor's,North,0,46564.37
28,19,3.9,High School,West,0,37574.64
29,49,4.6,Master's,North,1,71939.45
30,45,4.5,High School,West,1,54609.7
31,38,5.4,Bachelor's,East,1,66732.63
32,18,4.4,High School,South,0,39826.89
33,29,3.7,Master's,South,1,66749.18
34,43,5.1,High School,West,0,41336.59
35,39,2.9,High School,East,0,28105.21
36,46,1.2,High School,East,0,38700.27
37,29,2.7,High School,East,0,30509.65
38,42,1.5,High School,North,1,45066.52
39,34,1.6,Bachelor's,East,0,44613.94
40,44,2.7,Bachelor's,North,1,57765.7
41,44,1.4,High School,West,0,32830.09
42,48,2.4,High School,South,0,38508.29
43,27,0.0,Master's,West,1,57354.84
44,49,3.4,Bachelor's,East,0,51954.59
45,45,3.0,Bachelor's,East,0,55674.44
46,45,1.4,Bachelor's,West,1,53268.44
47,33,4.3,High School,North,0,43275.72
48,32,4.9,High School,North,0,40091.78
49,47,0.0,High School,North,0,32179.73
50,47,1.5,Master's,South,0,52760.57
51,32,1.5,Master's,South,1,58423.63
52,47,1.1,Bachelor's,East,0,44083.64
53,36,4.7,High School,West,0,42514.27
54,29,2.6,High School,West,0,41192.01
55,40,2.5,High School,East,0,41975.92
56,37,0.0,Bachelor's,North,1,52493.14
57,49,4.3,High School,South,0,43401.73
58,42,0.5,Master's,West,1,51364.61
59,20,3.1,High School,East,0,36300.03
