id,age,prior_experience,education_level,region,treatment,salary,pre_salary
1,24,4.0,High School,North,1,62951.2,45271.53
2,37,4.3,Master's,South,0,64458.05,60196.66
3,46,4.1,High School,West,0,47255.11,35405.26
4,32,3.2,Bachelor's,East,0,40585.34,51020.01
5,28,2.6,Master's,East,1,63843.04,49833.63
6,25,2.7,Bachelor's,East,0,52137.79,44603.58
7,46,2.6,Bachelor's,West,0,48796.08,46548.08
8,38,5.3,High School,North,0,40792.08,48246.5
9,24,4.2,Master's,South,1,64310.87,59381.92
10,43,0.0,Bachelor's,West,1,45740.32,37800.73
11,36,4.3,High School,North,0,39918.22,41201.43
12,40,3.4,Bachelor's,West,1,65812.31,49848.88
13,28,3.0,Bachelor's,West,0,37282.68,46526.45
14,28,2.2,High School,East,1,49948.48,43821.42
15,41,5.2,High School,North,0,39283.16,47945.64
16,38,4.9,High School,East,1,49878.9,41006.34
17,21,1.5,Bachelor's,East,0,32314.07,40589.6
18,25,3.8,Bachelor's,North,1,56697.04,49592.77
19,41,1.1,Bachelor's,East,0,48723.72,46497.72
20,20,0.2,Master's,East,0,47046.41,51244.42
21,39,1.7,Master's,South,1,54247.89,48515.46
22,38,4.7,Bachelor's,North,1,67260.1,48365.46
23,19,4.9,High School,North,0,50875.27,40454.01
24,41,4.0,Bachelor's,East,1,60598.74,51009.72
25,29,4.5,Bachelor's,East,0,61524.32,60715.14
26,47,4.0,Bachelor's,North,1,64204.89,52156.38
27,23,1.7,Bachelor's,North,0,46564.37,36724.35
28,19,3.9,High School,West,0,37574.64,38795.98
29,49,4.6,Master's,North,1,71939.45,56304.34
30,45,4.5,High School,West,1,54609.7,40211.99
31,38,5.4,Bachelor's,East,1,66732.63,52648.42
32,18,4.4,High School,South,0,39826.89,44677.58
33,29,3.7,Master's,South,1,66749.18,58827.92
34,43,5.1,High School,West,0,41336.59,49667.05
35,39,2.9,High School,East,0,28105.21,40796.81
36,46,1.2,High School,East,0,38700.27,25783.4
37,29,2.7,High School,East,0,30509.65,33870.78
38,42,1.5,High School,North,1,45066.52,33867.62
39,34,1.6,Bachelor's,East,0,44613.94,43389.12
40,44,2.7,Bachelor's,North,1,57765.7,49545.67
41,44,1.4,High School,West,0,32830.09,34372.74
42,48,2.4,High School,South,0,38508.29,37402.83
43,27,0.0,Master's,West,1,57354.84,45951.19
44,49,3.4,Bachelor's,East,0,51954.59,47179.91
45,45,3.0,Bachelor's,East,0,55674.44,47347.54
46,45,1.4,Bachelor's,West,1,53268.44,46703.33
47,33,4.3,High School,North,0,43275.72,42564.36
48,32,4.9,High School,North,0,40091.78,44579.15
49,47,0.0,High School,North,0,32179.73,29865.66
50,47,1.5,Master's,South,0,52760.57,54691.1
51,32,1.5,Master's,South,1,58423.63,45067.79
52,47,1.1,Bachelor's,East,0,44083.64,48403.39
53,36,4.7,High School,West,0,42514.27,39394.47
54,29,2.6,High School,West,0,41192.01,35183.12
55,40,2.5,High School,East,0,41975.92,40478.95
56,37,0.0,Bachelor's,North,1,52493.14,42121.27
57,49,4.3,High School,South,0,43401.73,37286.0
58,42,0.5,Master's,West,1,51364.61,42129.19
59,20,3.1,High School,East,0,36300.03,40411.37
60,22,3.6,Master's,North,0,58640.05,65177.68
61,36,5.7,Bachelor's,North,1,77408.01,60085.05
62,24,0.4,Bachelor's,South,0,37443.47,38207.61
63,38,0.0,Bachelor's,South,1,50279.19,28323.48
64,26,3.4,Bachelor's,East,1,55322.83,48526.57
65,24,6.6,Bachelor's,East,1,62933.23,59249.19
66,35,5.5,Bachelor's,North,1,61052.1,52969.22
67,21,3.4,Bachelor's,North,0,37845.6,44797.1
68,42,2.0,Master's,West,0,57817.36,51636.66
69,45,4.6,Bachelor's,North,1,50692.08,48030.96
70,31,1.1,Bachelor's,East,1,49839.58,48789.79
71,35,4.0,Master's,South,0,50967.51,63066.98
72,43,4.0,High School,East,1,47610.92,44631.65
73,26,5.1,High School,West,1,62243.87,45658.84
74,43,8.5,Bachelor's,West,1,74563.3,60859.34
75,38,3.8,Bachelor's,South,1,54527.52,49316.85
76,19,2.0,Master's,East,1,57998.63,57557.19
77,37,2.9,Bachelor's,West,1,53019.15,50174.62
78,45,0.0,Bachelor's,East,0,37782.27,38814.77
79,32,1.6,Bachelor's,West,1,53696.18,46495.9
80,45,2.2,High School,South,0,46022.18,38782.44
81,24,2.0,Bachelor's,West,0,34273.97,45585.11
82,29,3.3,Master's,East,0,54740.07,58822.25
83,46,1.4,High School,East,0,32487.64,36268.11
84,25,5.2,Bachelor's,West,0,58458.93,57034.21
85,32,3.0,Bachelor's,North,0,48775.33,47645.55
86,20,3.0,High School,South,0,41896.01,37983.5
87,31,2.3,High School,South,0,38758.06,34707.35
88,34,3.3,Master's,West,0,50271.19,52230.76
89,21,4.7,High School,West,0,50006.92,37679.32
90,35,1.3,High School,North,0,37789.74,30252.24
91,25,1.7,High School,South,1,49628.95,31336.59
92,21,2.4,Bachelor's,North,0,51497.89,43170.62
93,19,0.3,Bachelor's,South,0,41013.15,45148.98
94,47,1.4,Bachelor's,West,1,59489.41,41569.75
95,23,2.0,High School,South,0,38030.87,36967.07
96,39,4.7,Master's,South,0,58151.04,60193.28
97,27,3.5,High School,South,1,50542.35,46850.32
98,21,3.4,High School,North,0,40042.32,37897.66
99,39,4.7,Bachelor's,North,1,59508.43,51209.91
100,46,2.7,High School,South,0,46335.21,37675.2
101,48,3.8,Master's,East,1,67824.27,60946.14
102,35,2.8,Master's,North,0,53854.36,58776.42
103,43,3.5,High School,West,0,42533.55,42398.34
104,29,1.8,Master's,West,1,75402.72,55331.64
105,19,0.0,Bachelor's,South,1,42341.38,38710.64
106,27,2.7,Master's,West,0,48969.13,52409.59
107,47,5.8,High School,North,1,50633.63,52114.9
